state,district,mandal,village
ANDHRA PRADESH,Mahbubnagar,Maldakal,Uligepalle
ANDHRA PRADESH,Mahbubnagar,Maldakal,Bijjawaram
ANDHRA PRADESH,Mahbubnagar,Maldakal,Burdipad
ANDHRA PRADESH,Mahbubnagar,Maldakal,Palwai
ANDHRA PRADESH,Mahbubnagar,Maldakal,D.Amaravai
ANDHRA PRADESH,Mahbubnagar,Maldakal,Yelkur
ANDHRA PRADESH,Mahbubnagar,Maldakal,Chelagarlapadu
ANDHRA PRADESH,Mahbubnagar,Maldakal,Yeddulagudem
ANDHRA PRADESH,Mahbubnagar,Maldakal,Saddalonipalle
ANDHRA PRADESH,Mahbubnagar,Maldakal,Maldakal
ANDHRA PRADESH,Mahbubnagar,Maldakal,Thatikunta
ANDHRA PRADESH,Mahbubnagar,Maldakal,Syasampalle
ANDHRA PRADESH,Mahbubnagar,Maldakal,Kurthiravalcheruvu
ANDHRA PRADESH,Mahbubnagar,Maldakal,Nagardoddi
ANDHRA PRADESH,Mahbubnagar,Maldakal,Vittalapuram
ANDHRA PRADESH,Mahbubnagar,Maldakal,Mallemdoddi
ANDHRA PRADESH,Mahbubnagar,Ghattu,Ghattu
ANDHRA PRADESH,Mahbubnagar,Ghattu,Naudinne
ANDHRA PRADESH,Mahbubnagar,Ghattu,Easarlapad
ANDHRA PRADESH,Mahbubnagar,Ghattu,Kaloor Timmanadoddi
ANDHRA PRADESH,Mahbubnagar,Ghattu,Thummalacheruvu
ANDHRA PRADESH,Mahbubnagar,Ghattu,Aloor
ANDHRA PRADESH,Mahbubnagar,Ghattu,Kuchinerla
ANDHRA PRADESH,Mahbubnagar,Ghattu,Chintalakunta
ANDHRA PRADESH,Mahbubnagar,Ghattu,Rayapuram
ANDHRA PRADESH,Mahbubnagar,Ghattu,Penchikapadu
ANDHRA PRADESH,Mahbubnagar,Ghattu,Aragidda
ANDHRA PRADESH,Mahbubnagar,Ghattu,Thappetlamorsu
ANDHRA PRADESH,Mahbubnagar,Ghattu,Gorlakhandoddi
ANDHRA PRADESH,Mahbubnagar,Ghattu,Ghattu
ANDHRA PRADESH,Mahbubnagar,Ghattu,Yellamdoddi
ANDHRA PRADESH,Mahbubnagar,Ghattu,Apkondanhalli
ANDHRA PRADESH,Mahbubnagar,Ghattu,Macherla
ANDHRA PRADESH,Mahbubnagar,Ghattu,Muslimpalle
ANDHRA PRADESH,Mahbubnagar,Ghattu,Balgera
ANDHRA PRADESH,Mahbubnagar,Ghattu,Chamankhandoddi
ANDHRA PRADESH,Mahbubnagar,Ghattu,Mallampalle
ANDHRA PRADESH,Mahbubnagar,Ghattu,Induvasi
ANDHRA PRADESH,Mahbubnagar,Ghattu,Boyalagudem
ANDHRA PRADESH,Mahbubnagar,Ghattu,Chagadona
ANDHRA PRADESH,Mahbubnagar,Ghattu,Mittadoddi
ANDHRA PRADESH,Mahbubnagar,Ieej,Ieej
ANDHRA PRADESH,Mahbubnagar,Ieej,Uthanur
ANDHRA PRADESH,Mahbubnagar,Ieej,B.Timmapur
ANDHRA PRADESH,Mahbubnagar,Ieej,Eklaspur
ANDHRA PRADESH,Mahbubnagar,Ieej,Devabanda
ANDHRA PRADESH,Mahbubnagar,Ieej,Bingidoddi
ANDHRA PRADESH,Mahbubnagar,Ieej,Thoomkunta
ANDHRA PRADESH,Mahbubnagar,Ieej,Jadadoddi
ANDHRA PRADESH,Mahbubnagar,Ieej,Yapadinne
ANDHRA PRADESH,Mahbubnagar,Ieej,Venkatapur
ANDHRA PRADESH,Mahbubnagar,Ieej,Ieej
ANDHRA PRADESH,Mahbubnagar,Ieej,Medikonda
ANDHRA PRADESH,Mahbubnagar,Ieej,Thothinonidoddi
ANDHRA PRADESH,Mahbubnagar,Ieej,Sindhanoor
ANDHRA PRADESH,Mahbubnagar,Ieej,Kudakanoor
ANDHRA PRADESH,Mahbubnagar,Ieej,Pullikal
ANDHRA PRADESH,Mahbubnagar,Ieej,Kesavapuram
ANDHRA PRADESH,Mahbubnagar,Ieej,Venisampur
ANDHRA PRADESH,Mahbubnagar,Ieej,Chinna Tandrapadu
ANDHRA PRADESH,Mahbubnagar,Ieej,Uppal
ANDHRA PRADESH,Mahbubnagar,Itikyal,Itikyal
ANDHRA PRADESH,Mahbubnagar,Itikyal,Gopaldinne
ANDHRA PRADESH,Mahbubnagar,Itikyal,Mogilravalcheruvu
ANDHRA PRADESH,Mahbubnagar,Itikyal,Kondair
ANDHRA PRADESH,Mahbubnagar,Itikyal,Thimmapur
ANDHRA PRADESH,Mahbubnagar,Itikyal,Sasnool
ANDHRA PRADESH,Mahbubnagar,Itikyal,Putandoddi
ANDHRA PRADESH,Mahbubnagar,Itikyal,Munagala
ANDHRA PRADESH,Mahbubnagar,Itikyal,Itikyal
ANDHRA PRADESH,Mahbubnagar,Itikyal,Peddadinne
ANDHRA PRADESH,Mahbubnagar,Itikyal,Udandapur
ANDHRA PRADESH,Mahbubnagar,Itikyal,Saterla
ANDHRA PRADESH,Mahbubnagar,Itikyal,Vavilala
ANDHRA PRADESH,Mahbubnagar,Itikyal,Shabad
ANDHRA PRADESH,Mahbubnagar,Itikyal,Chagapur
ANDHRA PRADESH,Mahbubnagar,Itikyal,Vemula
ANDHRA PRADESH,Mahbubnagar,Itikyal,Batladinne
ANDHRA PRADESH,Mahbubnagar,Itikyal,Vallur
ANDHRA PRADESH,Mahbubnagar,Itikyal,Dharmavaram
ANDHRA PRADESH,Mahbubnagar,Itikyal,Bochuveerapur
ANDHRA PRADESH,Mahbubnagar,Itikyal,Karpakula
ANDHRA PRADESH,Mahbubnagar,Itikyal,Rajsrigarlapad
ANDHRA PRADESH,Mahbubnagar,Veepangandla,Veepangandla
ANDHRA PRADESH,Mahbubnagar,Veepangandla,Govardhangiri
ANDHRA PRADESH,Mahbubnagar,Veepangandla,Velgonda
ANDHRA PRADESH,Mahbubnagar,Veepangandla,Veepangandla
ANDHRA PRADESH,Mahbubnagar,Veepangandla,Sanginepalle
ANDHRA PRADESH,Mahbubnagar,Veepangandla,Toomkunta
ANDHRA PRADESH,Mahbubnagar,Veepangandla,Sampatraopalle
ANDHRA PRADESH,Mahbubnagar,Veepangandla,Konduru
ANDHRA PRADESH,Mahbubnagar,Veepangandla,Singavaram
ANDHRA PRADESH,Mahbubnagar,Veepangandla,Gopalapuram
ANDHRA PRADESH,Mahbubnagar,Veepangandla,Dagada
ANDHRA PRADESH,Mahbubnagar,Veepangandla,Dagadapalle
ANDHRA PRADESH,Mahbubnagar,Veepangandla,Ammaipalle
ANDHRA PRADESH,Mahbubnagar,Veepangandla,Miyapuram
ANDHRA PRADESH,Mahbubnagar,Veepangandla,Gaddabaswapuram
ANDHRA PRADESH,Mahbubnagar,Veepangandla,Bekkam
ANDHRA PRADESH,Mahbubnagar,Veepangandla,Peddamarur
ANDHRA PRADESH,Mahbubnagar,Veepangandla,Chinnamarur
ANDHRA PRADESH,Mahbubnagar,Veepangandla,Koppunur
ANDHRA PRADESH,Mahbubnagar,Veepangandla,Lakshmipalle
ANDHRA PRADESH,Mahbubnagar,Veepangandla,Jataprole
ANDHRA PRADESH,Mahbubnagar,Veepangandla,Ayyavaripalle
ANDHRA PRADESH,Mahbubnagar,Veepangandla,Chellepahad
ANDHRA PRADESH,Mahbubnagar,Veepangandla,Lingasanipalle
ANDHRA PRADESH,Mahbubnagar,Veepangandla,Vellatur
ANDHRA PRADESH,Mahbubnagar,Veepangandla,Solipuram
ANDHRA PRADESH,Mahbubnagar,Veepangandla,Kalloor
ANDHRA PRADESH,Mahbubnagar,Kollapur,Kollapur
ANDHRA PRADESH,Mahbubnagar,Kollapur,Chintalapalle
ANDHRA PRADESH,Mahbubnagar,Kollapur,Narsimhapuram
ANDHRA PRADESH,Mahbubnagar,Kollapur,Enmanabetla
ANDHRA PRADESH,Mahbubnagar,Kollapur,Machinenipalle
ANDHRA PRADESH,Mahbubnagar,Kollapur,Jawaipalle
ANDHRA PRADESH,Mahbubnagar,Kollapur,Singavatnam
ANDHRA PRADESH,Mahbubnagar,Kollapur,Choutabetla
ANDHRA PRADESH,Mahbubnagar,Kollapur,Chukkaipalle
ANDHRA PRADESH,Mahbubnagar,Kollapur,Ankiraopalle
ANDHRA PRADESH,Mahbubnagar,Kollapur,Kudikilla
ANDHRA PRADESH,Mahbubnagar,Kollapur,Narlapuram
ANDHRA PRADESH,Mahbubnagar,Kollapur,Malabaswapur
ANDHRA PRADESH,Mahbubnagar,Kollapur,Malachintapalle
ANDHRA PRADESH,Mahbubnagar,Kollapur,Yellur
ANDHRA PRADESH,Mahbubnagar,Kollapur,Wardyal
ANDHRA PRADESH,Mahbubnagar,Kollapur,Kollapur
ANDHRA PRADESH,Mahbubnagar,Kollapur,Narsingaraopalle
ANDHRA PRADESH,Mahbubnagar,Kollapur,Pentlavelli
ANDHRA PRADESH,Mahbubnagar,Kollapur,Manchalakatta
ANDHRA PRADESH,Mahbubnagar,Kollapur,Ramapur
ANDHRA PRADESH,Mahbubnagar,Kollapur,Chennampalle
ANDHRA PRADESH,Mahbubnagar,Kollapur,Vemkal
ANDHRA PRADESH,Mahbubnagar,Kollapur,Malleswaram
ANDHRA PRADESH,Mahbubnagar,Kollapur,Somasila
ANDHRA PRADESH,Mahbubnagar,Kollapur,Amaragiri
ANDHRA PRADESH,Mahbubnagar,Kollapur,Asadpur
ANDHRA PRADESH,Mahbubnagar,Kollapur,Bollaram
ANDHRA PRADESH,Mahbubnagar,Waddepalle,Waddepalle
ANDHRA PRADESH,Mahbubnagar,Waddepalle,Tanagala
ANDHRA PRADESH,Mahbubnagar,Waddepalle,Patcharla
ANDHRA PRADESH,Mahbubnagar,Waddepalle,Mandoddi
ANDHRA PRADESH,Mahbubnagar,Waddepalle,Nasnur
ANDHRA PRADESH,Mahbubnagar,Waddepalle,Peddadhanwada
ANDHRA PRADESH,Mahbubnagar,Waddepalle,Chinnadhanwada
ANDHRA PRADESH,Mahbubnagar,Waddepalle,Thummella
ANDHRA PRADESH,Mahbubnagar,Waddepalle,Pedda Thandrapadu
ANDHRA PRADESH,Mahbubnagar,Waddepalle,Konkala
ANDHRA PRADESH,Mahbubnagar,Waddepalle,Julakal
ANDHRA PRADESH,Mahbubnagar,Waddepalle,Ramapuram
ANDHRA PRADESH,Mahbubnagar,Waddepalle,Koildinne
ANDHRA PRADESH,Mahbubnagar,Waddepalle,Paipadu
ANDHRA PRADESH,Mahbubnagar,Waddepalle,Jilledudinne
ANDHRA PRADESH,Mahbubnagar,Waddepalle,Waddepalle
ANDHRA PRADESH,Mahbubnagar,Waddepalle,Mundladinne
ANDHRA PRADESH,Mahbubnagar,Waddepalle,Padamatigarlapadu
ANDHRA PRADESH,Mahbubnagar,Waddepalle,Rajoli
ANDHRA PRADESH,Mahbubnagar,Waddepalle,Turpugarlapadu
ANDHRA PRADESH,Mahbubnagar,Waddepalle,Budamarsu
ANDHRA PRADESH,Mahbubnagar,Manopad,Manopad
ANDHRA PRADESH,Mahbubnagar,Manopad,Peddaamudyala Padu
ANDHRA PRADESH,Mahbubnagar,Manopad,Narayanpur
ANDHRA PRADESH,Mahbubnagar,Manopad,Chandapur
ANDHRA PRADESH,Mahbubnagar,Manopad,Boravelle
ANDHRA PRADESH,Mahbubnagar,Manopad,Mangampeta
ANDHRA PRADESH,Mahbubnagar,Manopad,Pallepadu
ANDHRA PRADESH,Mahbubnagar,Manopad,Chandur
ANDHRA PRADESH,Mahbubnagar,Manopad,Jallapur
ANDHRA PRADESH,Mahbubnagar,Manopad,Itkyalpadu
ANDHRA PRADESH,Mahbubnagar,Manopad,Raimakulakunta
ANDHRA PRADESH,Mahbubnagar,Manopad,Manopad
ANDHRA PRADESH,Mahbubnagar,Manopad,Amaravai
ANDHRA PRADESH,Mahbubnagar,Manopad,A.Burdipad
ANDHRA PRADESH,Mahbubnagar,Manopad,Maddur
ANDHRA PRADESH,Mahbubnagar,Manopad,Kalkuntla
ANDHRA PRADESH,Mahbubnagar,Manopad,Gokulapad
ANDHRA PRADESH,Mahbubnagar,Manopad,Chinnipadu
ANDHRA PRADESH,Mahbubnagar,Manopad,Poosalapadu
ANDHRA PRADESH,Mahbubnagar,Manopad,Peddapothulapadu
ANDHRA PRADESH,Mahbubnagar,Manopad,Khanapur
ANDHRA PRADESH,Mahbubnagar,Manopad,Kanchupadu
ANDHRA PRADESH,Mahbubnagar,Manopad,Chinnaamudyala Padu
ANDHRA PRADESH,Mahbubnagar,Manopad,Undavelli
ANDHRA PRADESH,Mahbubnagar,Manopad,Chinnapothulapadu
ANDHRA PRADESH,Mahbubnagar,Manopad,Bonkur
ANDHRA PRADESH,Mahbubnagar,Manopad,Korvipadu
ANDHRA PRADESH,Mahbubnagar,Manopad,Mennipadu
ANDHRA PRADESH,Mahbubnagar,Manopad,Kalgotla
ANDHRA PRADESH,Mahbubnagar,Manopad,Pullur
ANDHRA PRADESH,Mahbubnagar,Manopad,D.Burdipadu
ANDHRA PRADESH,Mahbubnagar,Alampur,Alampur
ANDHRA PRADESH,Mahbubnagar,Alampur,Thakkasila
ANDHRA PRADESH,Mahbubnagar,Alampur,Maramunagala
ANDHRA PRADESH,Mahbubnagar,Alampur,Pragatoor
ANDHRA PRADESH,Mahbubnagar,Alampur,Seripalle
ANDHRA PRADESH,Mahbubnagar,Alampur,Shalipur
ANDHRA PRADESH,Mahbubnagar,Alampur,Kyatur
ANDHRA PRADESH,Mahbubnagar,Alampur,Yapaladevipadu
ANDHRA PRADESH,Mahbubnagar,Alampur,Utkur
ANDHRA PRADESH,Mahbubnagar,Alampur,Bheemavaram
ANDHRA PRADESH,Mahbubnagar,Alampur,Bukkapur
ANDHRA PRADESH,Mahbubnagar,Alampur,Gundimalla
ANDHRA PRADESH,Mahbubnagar,Alampur,Uppalapadu
ANDHRA PRADESH,Mahbubnagar,Alampur,Kudavelli
ANDHRA PRADESH,Mahbubnagar,Alampur,Chagatur
ANDHRA PRADESH,Mahbubnagar,Alampur,Bairampalle
ANDHRA PRADESH,Mahbubnagar,Alampur,Alampur
ANDHRA PRADESH,Mahbubnagar,Alampur,Imampur
ANDHRA PRADESH,Mahbubnagar,Alampur,Koneru
ANDHRA PRADESH,Mahbubnagar,Alampur,Linganavai
ANDHRA PRADESH,Mahbubnagar,Alampur,Bhairapur
ANDHRA PRADESH,Mahbubnagar,Alampur,Baswapur
ANDHRA PRADESH,Mahbubnagar,Alampur,Kasipur
ANDHRA PRADESH,Mahbubnagar,Alampur,Singavaram
ANDHRA PRADESH,Mahbubnagar,Alampur,Ryalampadu
ANDHRA PRADESH,Mahbubnagar,Alampur,Sultanpur
ANDHRA PRADESH,Mahbubnagar,Alampur,Jillellapadu
ANDHRA PRADESH,Nalgonda,Nalgonda,Nalgonda
ANDHRA PRADESH,Nalgonda,Bommalaramaram,Bommalaramaram
ANDHRA PRADESH,Nalgonda,Bommalaramaram,Chinaparvathapur
ANDHRA PRADESH,Nalgonda,Bommalaramaram,Thimma Puram
ANDHRA PRADESH,Nalgonda,Bommalaramaram,Boin Palle
ANDHRA PRADESH,Nalgonda,Bommalaramaram,Somaji Palle
ANDHRA PRADESH,Nalgonda,Bommalaramaram,Muneerabad
ANDHRA PRADESH,Nalgonda,Bommalaramaram,Bandakindi Palle
ANDHRA PRADESH,Nalgonda,Bommalaramaram,Thumkunta
ANDHRA PRADESH,Nalgonda,Bommalaramaram,Jalalpur
ANDHRA PRADESH,Nalgonda,Bommalaramaram,Pyararam
ANDHRA PRADESH,Nalgonda,Bommalaramaram,Solipeta
ANDHRA PRADESH,Nalgonda,Bommalaramaram,Cheekati Mamidi
ANDHRA PRADESH,Nalgonda,Bommalaramaram,Maryala
ANDHRA PRADESH,Nalgonda,Bommalaramaram,Malyala
ANDHRA PRADESH,Nalgonda,Bommalaramaram,Yavapur
ANDHRA PRADESH,Nalgonda,Bommalaramaram,Ranga Puram
ANDHRA PRADESH,Nalgonda,Bommalaramaram,Ramlingam Palle
ANDHRA PRADESH,Nalgonda,Bommalaramaram,Pedda Parvathapur
ANDHRA PRADESH,Nalgonda,Bommalaramaram,Bommalaramaram
ANDHRA PRADESH,Nalgonda,Bommalaramaram,Tirumalagiri
ANDHRA PRADESH,Nalgonda,Bommalaramaram,Nagineni Palle
ANDHRA PRADESH,Nalgonda,Bommalaramaram,Maisi Reddy Palle
ANDHRA PRADESH,Nalgonda,Bommalaramaram,Hazipur
ANDHRA PRADESH,Nalgonda,Bommalaramaram,Mailaram
ANDHRA PRADESH,Nalgonda,Bommalaramaram,Medi Palle
ANDHRA PRADESH,Nalgonda,M.Turkapalle,M.Turkapalle
ANDHRA PRADESH,Nalgonda,M.Turkapalle,Gopal Puram
ANDHRA PRADESH,Nalgonda,M.Turkapalle,Kondapur
ANDHRA PRADESH,Nalgonda,M.Turkapalle,Srinivasapur
ANDHRA PRADESH,Nalgonda,M.Turkapalle,Tirumalapur
ANDHRA PRADESH,Nalgonda,M.Turkapalle,Veerareddi Palle
ANDHRA PRADESH,Nalgonda,M.Turkapalle,Gandamalla
ANDHRA PRADESH,Nalgonda,M.Turkapalle,Konapuram
ANDHRA PRADESH,Nalgonda,M.Turkapalle,Ibrahimpur
ANDHRA PRADESH,Nalgonda,M.Turkapalle,Dattai Palle
ANDHRA PRADESH,Nalgonda,M.Turkapalle,Mannevari Turkapalle
ANDHRA PRADESH,Nalgonda,M.Turkapalle,Vasala Marri
ANDHRA PRADESH,Nalgonda,M.Turkapalle,Malka Puram
ANDHRA PRADESH,Nalgonda,M.Turkapalle,China Laxma Puram
ANDHRA PRADESH,Nalgonda,M.Turkapalle,Nagai Palle
ANDHRA PRADESH,Nalgonda,M.Turkapalle,Madha Puram
ANDHRA PRADESH,Nalgonda,M.Turkapalle,Dharmaram
ANDHRA PRADESH,Nalgonda,M.Turkapalle,Mulakala Palle
ANDHRA PRADESH,Nalgonda,M.Turkapalle,Palle Pahad
ANDHRA PRADESH,Nalgonda,M.Turkapalle,Rusta Puram
ANDHRA PRADESH,Nalgonda,M.Turkapalle,Venkatapur
ANDHRA PRADESH,Nalgonda,M.Turkapalle,Komatikunta
ANDHRA PRADESH,Nalgonda,M.Turkapalle,Velpupalle
ANDHRA PRADESH,Nalgonda,Rajapet,Rajapet
ANDHRA PRADESH,Nalgonda,Rajapet,Singaram
ANDHRA PRADESH,Nalgonda,Rajapet,Jala
ANDHRA PRADESH,Nalgonda,Rajapet,Kurraram
ANDHRA PRADESH,Nalgonda,Rajapet,Burugu Palle
ANDHRA PRADESH,Nalgonda,Rajapet,Bondugula
ANDHRA PRADESH,Nalgonda,Rajapet,Paru Palle
ANDHRA PRADESH,Nalgonda,Rajapet,Pamukunta
ANDHRA PRADESH,Nalgonda,Rajapet,Narsapur
ANDHRA PRADESH,Nalgonda,Rajapet,Renikunta
ANDHRA PRADESH,Nalgonda,Rajapet,Rajapet
ANDHRA PRADESH,Nalgonda,Rajapet,Nemla
ANDHRA PRADESH,Nalgonda,Rajapet,Basanthapur
ANDHRA PRADESH,Nalgonda,Rajapet,Kalapalle
ANDHRA PRADESH,Nalgonda,Rajapet,Begumpet
ANDHRA PRADESH,Nalgonda,Rajapet,Challur
ANDHRA PRADESH,Nalgonda,Rajapet,Doodi Venkatapur
ANDHRA PRADESH,Nalgonda,Rajapet,Somaram
ANDHRA PRADESH,Nalgonda,Rajapet,Lakshmakka Palle
ANDHRA PRADESH,Nalgonda,Rajapet,Raghunathpur (CT)
ANDHRA PRADESH,Nalgonda,Yadagirigutta,Yadagirigutta
ANDHRA PRADESH,Nalgonda,Yadagirigutta,Mallapur
ANDHRA PRADESH,Nalgonda,Yadagirigutta,Gowrai Palle
ANDHRA PRADESH,Nalgonda,Yadagirigutta,Sadu Velle
ANDHRA PRADESH,Nalgonda,Yadagirigutta,Kacharam
ANDHRA PRADESH,Nalgonda,Yadagirigutta,Masaipet
ANDHRA PRADESH,Nalgonda,Yadagirigutta,Peddakandukur
ANDHRA PRADESH,Nalgonda,Yadagirigutta,Saidapur
ANDHRA PRADESH,Nalgonda,Yadagirigutta,Dathar Palle
ANDHRA PRADESH,Nalgonda,Yadagirigutta,Jangam Palle
ANDHRA PRADESH,Nalgonda,Yadagirigutta,Vanga Palle
ANDHRA PRADESH,Nalgonda,Yadagirigutta,Ramojipet
ANDHRA PRADESH,Nalgonda,Yadagirigutta,Chinnakandukur
ANDHRA PRADESH,Nalgonda,Yadagirigutta,Choller
ANDHRA PRADESH,Nalgonda,Yadagirigutta,Moota Kondur
ANDHRA PRADESH,Nalgonda,Yadagirigutta,Vartoor
ANDHRA PRADESH,Nalgonda,Yadagirigutta,Yadagirigutta (CT)
ANDHRA PRADESH,Nalgonda,Alair,Alair
ANDHRA PRADESH,Nalgonda,Alair,Kolanupaka
ANDHRA PRADESH,Nalgonda,Alair,Srinivasa Puram
ANDHRA PRADESH,Nalgonda,Alair,Patelguda
ANDHRA PRADESH,Nalgonda,Alair,Tangutoor
ANDHRA PRADESH,Nalgonda,Alair,Sharajpet
ANDHRA PRADESH,Nalgonda,Alair,Alair
ANDHRA PRADESH,Nalgonda,Alair,Bahadurpet
ANDHRA PRADESH,Nalgonda,Alair,Manthapuri
ANDHRA PRADESH,Nalgonda,Alair,Dilawarpur
ANDHRA PRADESH,Nalgonda,Alair,Ikkurthi
ANDHRA PRADESH,Nalgonda,Alair,Kolluru
ANDHRA PRADESH,Nalgonda,Alair,Matoor
ANDHRA PRADESH,Nalgonda,Alair,Amman Bole
ANDHRA PRADESH,Nalgonda,Alair,Golankonda
ANDHRA PRADESH,Nalgonda,Gundala,Gundala
ANDHRA PRADESH,Nalgonda,Gundala,Komme Palle
ANDHRA PRADESH,Nalgonda,Gundala,Anantaram
ANDHRA PRADESH,Nalgonda,Gundala,Velmajala
ANDHRA PRADESH,Nalgonda,Gundala,Seetarampur
ANDHRA PRADESH,Nalgonda,Gundala,Marpadaga
ANDHRA PRADESH,Nalgonda,Gundala,Gangapur
ANDHRA PRADESH,Nalgonda,Gundala,Masan Palle
ANDHRA PRADESH,Nalgonda,Gundala,Ramaram
ANDHRA PRADESH,Nalgonda,Gundala,Brahman Palle
ANDHRA PRADESH,Nalgonda,Gundala,Suddala
ANDHRA PRADESH,Nalgonda,Gundala,Teryala
ANDHRA PRADESH,Nalgonda,Gundala,Palle Pahad
ANDHRA PRADESH,Nalgonda,Gundala,Paru Palle
ANDHRA PRADESH,Nalgonda,Gundala,Ambala
ANDHRA PRADESH,Nalgonda,Gundala,Gundala
ANDHRA PRADESH,Nalgonda,Gundala,Turkala Shapur
ANDHRA PRADESH,Nalgonda,Gundala,Vangala
ANDHRA PRADESH,Nalgonda,Gundala,Pedda Padishala
ANDHRA PRADESH,Nalgonda,Gundala,Bandakotha Palle
ANDHRA PRADESH,Nalgonda,Gundala,Vastha Kondur
ANDHRA PRADESH,Nalgonda,Thirumalgiri,Thirumalgiri
ANDHRA PRADESH,Nalgonda,Thirumalgiri,Thati Pamula
ANDHRA PRADESH,Nalgonda,Thirumalgiri,Nanda Puram
ANDHRA PRADESH,Nalgonda,Thirumalgiri,Thirumalgiri
ANDHRA PRADESH,Nalgonda,Thirumalgiri,Thonda
ANDHRA PRADESH,Nalgonda,Thirumalgiri,Velchala
ANDHRA PRADESH,Nalgonda,Thirumalgiri,Mamidiyala
ANDHRA PRADESH,Nalgonda,Thirumalgiri,Bandla Palle
ANDHRA PRADESH,Nalgonda,Thirumalgiri,Mali Puram
ANDHRA PRADESH,Nalgonda,Thirumalgiri,Anantharam
ANDHRA PRADESH,Nalgonda,Thirumalgiri,Etoor
ANDHRA PRADESH,Nalgonda,Thirumalgiri,Phanigiri
ANDHRA PRADESH,Nalgonda,Thirumalgiri,Chenna Puram
ANDHRA PRADESH,Nalgonda,Thirumalgiri,Mamidi Palle
ANDHRA PRADESH,Nalgonda,Thirumalgiri,Gudepuri
ANDHRA PRADESH,Nalgonda,Thirumalgiri,Sidda Samudram
ANDHRA PRADESH,Nalgonda,Thirumalgiri,Jalal Puram
ANDHRA PRADESH,Nalgonda,Thungathurthi,Thungathurthi
ANDHRA PRADESH,Nalgonda,Thungathurthi,Gottiparthi
ANDHRA PRADESH,Nalgonda,Thungathurthi,Ravula Palle
ANDHRA PRADESH,Nalgonda,Thungathurthi,Manapur
ANDHRA PRADESH,Nalgonda,Thungathurthi,Kukkadam
ANDHRA PRADESH,Nalgonda,Thungathurthi,Kunta Palle
ANDHRA PRADESH,Nalgonda,Thungathurthi,Reddiguda
ANDHRA PRADESH,Nalgonda,Thungathurthi,Ramachandrapuram
ANDHRA PRADESH,Nalgonda,Thungathurthi,Gummadavally
ANDHRA PRADESH,Nalgonda,Thungathurthi,Vempati
ANDHRA PRADESH,Nalgonda,Thungathurthi,Bandaramaram
ANDHRA PRADESH,Nalgonda,Thungathurthi,Pasthala
ANDHRA PRADESH,Nalgonda,Thungathurthi,Laxmapur
ANDHRA PRADESH,Nalgonda,Thungathurthi,Pasnur
ANDHRA PRADESH,Nalgonda,Thungathurthi,Thungathurthi
ANDHRA PRADESH,Nalgonda,Thungathurthi,Ganugubanda
ANDHRA PRADESH,Nalgonda,Thungathurthi,Karivirala
ANDHRA PRADESH,Nalgonda,Thungathurthi,Annaram
ANDHRA PRADESH,Nalgonda,Thungathurthi,Velug Palle
ANDHRA PRADESH,Nalgonda,Thungathurthi,Keshava Puram
ANDHRA PRADESH,Nalgonda,Thungathurthi,Sangam
ANDHRA PRADESH,Nalgonda,Nuthankal,Nuthankal
ANDHRA PRADESH,Nalgonda,Nuthankal,Gorentla
ANDHRA PRADESH,Nalgonda,Nuthankal,Polumalla
ANDHRA PRADESH,Nalgonda,Nuthankal,Maddirala
ANDHRA PRADESH,Nalgonda,Nuthankal,Mukundapuram
ANDHRA PRADESH,Nalgonda,Nuthankal,Ganjivari Kothapalle
ANDHRA PRADESH,Nalgonda,Nuthankal,Mamindla Madava
ANDHRA PRADESH,Nalgonda,Nuthankal,Chinna Nemila
ANDHRA PRADESH,Nalgonda,Nuthankal,Chandu Patla
ANDHRA PRADESH,Nalgonda,Nuthankal,Yerra Pahad
ANDHRA PRADESH,Nalgonda,Nuthankal,Nuthankal
ANDHRA PRADESH,Nalgonda,Nuthankal,Chilpa Kunta
ANDHRA PRADESH,Nalgonda,Nuthankal,Venke Palle
ANDHRA PRADESH,Nalgonda,Nuthankal,Talla Singaram
ANDHRA PRADESH,Nalgonda,Nuthankal,Yadavalli
ANDHRA PRADESH,Nalgonda,Nuthankal,Gundla Singaram
ANDHRA PRADESH,Nalgonda,Nuthankal,Mediguda
ANDHRA PRADESH,Nalgonda,Nuthankal,Miryala
ANDHRA PRADESH,Nalgonda,Nuthankal,Dirisana Palle
ANDHRA PRADESH,Nalgonda,Nuthankal,Pedanemila
ANDHRA PRADESH,Nalgonda,Nuthankal,Bhikumalla
ANDHRA PRADESH,Nalgonda,Nuthankal,Lingam Palle
ANDHRA PRADESH,Nalgonda,Nuthankal,Machan Palle
ANDHRA PRADESH,Nalgonda,Atmakur (S),Atmakur (S)
ANDHRA PRADESH,Nalgonda,Atmakur (S),Kandagatla
ANDHRA PRADESH,Nalgonda,Atmakur (S),Gattikal
ANDHRA PRADESH,Nalgonda,Atmakur (S),Patharla Pahad
ANDHRA PRADESH,Nalgonda,Atmakur (S),Isthalapur
ANDHRA PRADESH,Nalgonda,Atmakur (S),Mukkudeu Devi Palle
ANDHRA PRADESH,Nalgonda,Atmakur (S),Aipur
ANDHRA PRADESH,Nalgonda,Atmakur (S),Venkatapur
ANDHRA PRADESH,Nalgonda,Atmakur (S),Bopparam
ANDHRA PRADESH,Nalgonda,Atmakur (S),Midthan Palle
ANDHRA PRADESH,Nalgonda,Atmakur (S),Maktha Kotha Gudem
